dropped_feature,accuracy,macro_f1,total_pnl,win_rate,trades,delta_accuracy,delta_macro_f1,delta_total_pnl,delta_win_rate
"(none, baseline)",0.5966,0.5115216387255884,26.188624957072086,0.6321546139959647,9417,,,,
latest_spread_z,0.4134,0.36042377911492035,3.1205931169652823,0.47489406779661014,9440,-0.18320000000000003,-0.15109785961066807,-23.068031840106805,-0.1572605461993546
mean_spread_z,0.5978,0.5166057257565968,26.03024442726413,0.6334865818453972,9353,0.0011999999999999789,0.0050840870310083774,-0.1583805298079568,0.0013319678494324583
min_spread_z,0.5978,0.5123842278186336,26.30221885073169,0.6329837940896091,9441,0.0011999999999999789,0.0008625890930451519,0.11359389365960482,0.0008291800936444105
max_spread_z,0.5972,0.51034399132971,25.639003123416508,0.6261909803091256,9446,0.0005999999999999339,-0.001177647395878445,-0.5496218336555785,-0.005963633686839165
spread_slope,0.5987,0.5164010411409655,26.155724609445894,0.6333368790554197,9401,0.0020999999999999908,0.004879402415377099,-0.03290034762619243,0.0011822650594549566
latest_volume_ratio,0.5991,0.512919543543303,26.200320189405097,0.634666383791238,9427,0.0024999999999999467,0.0013979048177146236,0.011695232333011063,0.002511769795273233
mean_volume_ratio,0.6022,0.5249879779886095,25.990024532779067,0.6327471584816642,9326,0.005599999999999938,0.013466339263021099,-0.19860042429301927,0.0005925444856994533
latest_btc_return_24h,0.5968,0.5089846029628569,26.41959046159535,0.6339219625674104,9457,0.00019999999999997797,-0.0025370357627315654,0.23096550452326525,0.0017673485714456705
latest_rolling_corr,0.5943,0.5033056425245498,26.185491358963745,0.6305034758795028,9494,-0.0022999999999999687,-0.008215996201038633,-0.003133598108341573,-0.0016511381164618921
latest_realized_vol_a,0.5945,0.5001595804092797,26.21854143290726,0.6306079664570231,9540,-0.0020999999999999908,-0.011362058316308765,0.029916475835172207,-0.0015466475389416257
latest_realized_vol_b,0.5974,0.5057628175827632,26.114778906766603,0.6307999160193155,9526,0.0008000000000000229,-0.005758821142825221,-0.07384605030548386,-0.0013546979766492218
time_since_zero_crossing,0.5988,0.517127703230936,25.981041399267255,0.6311239193083573,9369,0.0021999999999999797,0.005606064505347619,-0.2075835578048313,-0.0010306946876074141
mean_pair_volume_sum,0.5948,0.51622718769317,26.708568803148292,0.6393530997304582,9275,-0.0018000000000000238,0.004705548967581574,0.519943846076206,0.007198485734493443
latest_pair_volume_gmean,0.6006,0.5194964275393528,26.090736538837845,0.6325943295672565,9382,0.0040000000000000036,0.007974788813764344,-0.09788841823424121,0.0004397155712917433
