sym_a,sym_b,eg_pvalue,alpha,beta_a_on_b,kappa,halflife_h,n_obs
VTHOUSDT,POLYXUSDT,0.0068401840276154,-4.969931696599641,0.8191163343203204,0.004937546927613057,140.38290485575826,13520
DOTUSDT,EGLDUSDT,0.0207681724710303,-1.2352016331240638,0.8160481149420404,0.00429968028542124,161.20900498350372,25248
VTHOUSDT,IMXUSDT,0.0104697522285419,-6.417513043413409,0.7242238312695954,0.0037608465274763226,184.30615966269556,21733
VETUSDT,HBARUSDT,0.030585244369849,-0.9876047403468243,0.9985320855080929,0.0034381202595263477,201.60643847153753,11538
EGLDUSDT,SANDUSDT,0.0188199105140177,4.204779055196991,0.6899437367140608,0.002554847209527227,271.3067059255617,17881
FILUSDT,NMRUSDT,0.0196246453396854,-1.0666709230328701,0.9823174027621558,0.0023724168024777535,292.1692258443044,23436
ALGOUSDT,EGLDUSDT,0.0499536855594616,-5.885954611833805,1.1314948539787146,0.0020753336506890525,333.99312940827923,24396
ADAUSDT,POLYXUSDT,0.0392924781950457,-0.3296830559539506,0.3825008059421523,0.0018978856143421225,365.220735813531,13520
AAVEUSDT,NMRUSDT,0.0169431958816285,2.9101276568676773,0.5520047064940137,0.001688504934390257,410.509419571374,23436
GRTUSDT,ZILUSDT,0.0025073304448077,2.5563415673461276,1.110912882832049,0.001379460086284858,502.47715570134346,11538
